# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
142465000,147,1410,-1903,-38320,53633,-121145
142484000,472,-28,-1047,10076,52702,63877
142503000,1266,-335,-358,93129,20045,107496
142522000,569,-618,-414,103007,-5022,212137
142541000,-196,-1462,133,43770,-37450,245465
142560000,504,-3069,1057,-23175,-43160,124656
142579000,566,-2279,415,-93267,-26992,-63297
142598000,360,-636,-422,-75923,-3190,-124671
142617000,114,-4,-825,-58809,14305,-84259
142636000,165,-936,-797,-57664,25236,17267
142655000,447,-1354,-289,-60015,22870,10610
142674000,544,-993,-217,-48702,23038,-26366
142693000,543,-761,-193,-48748,2961,-35633
142712000,540,-1037,-206,-64610,-11541,-20167
142731000,451,-1191,-261,-73587,-12870,-14381
142750000,367,-963,-257,-73358,-5297,-13160
142769000,418,-762,-298,-74045,-946,-6000
142788000,464,-800,-329,-76320,-534,-4702
142807002,430,-885,-347,-76244,1984,-9053
142826000,417,-840,-334,-75465,4977,-16351
142845000,371,-767,-323,-73526,7603,-17587
142864000,375,-735,-330,-73053,10702,-14076
142883000,423,-714,-393,-70152,12671,-16961
142902000,393,-723,-388,-70198,14000,-15603
142921000,344,-717,-436,-67389,18091,-19847
142940000,398,-621,-467,-60366,21007,-38839
142959000,464,-535,-511,-52427,22000,-61419
142978000,452,-484,-571,-44503,23725,-78549
142997000,456,-429,-666,-34458,29480,-85129
143016000,592,-363,-726,-21740,31374,-105557
143035000,672,-219,-814,-8290,33236,-133007
143054000,646,73,-862,11847,29832,-146183
143073000,619,364,-989,43816,31267,-150458
143092000,557,508,-1045,86213,38213,-161435
143111000,475,751,-1024,137496,56702,-136396
143130000,512,738,-862,188519,64992,-68931
143149000,447,510,-425,230778,69465,62045
143168000,450,435,-51,291847,54549,251740
143187000,484,-232,644,333404,1709,500259
143206000,-427,-2100,1242,300458,-52931,500259
143225000,-874,-4000,2191,157709,-102229,382931
143244000,1082,-4000,1858,-28091,-27557,-65954
143263000,-187,-2287,87,-155358,31679,-335022
143282000,-77,461,-191,-104748,86167,-359404
143301000,199,983,-1461,-45923,83862,-204793
143320000,837,-253,-638,1587,57770,17587
143339000,1010,-312,-251,58961,22625,136137
143358000,310,-822,9,42748,-1358,163022
143377000,469,-1716,575,9923,-32061,129328
143396000,634,-2018,706,-58732,-27984,13038
143415000,467,-938,-201,-51358,-839,-49114
143434000,325,-255,-592,-30381,18366,-45847
143453000,377,-729,-389,-24000,22183,23160
143472000,386,-1047,-109,-17572,29679,48503
143491000,227,-953,68,-14931,36106,30809
143510000,225,-1015,188,-26381,40091,13419
143529000,484,-1194,199,-46870,46076,-14473
143548000,492,-1100,-16,-58763,49511,-47007
143567000,322,-854,-65,-58549,57083,-68763
143586000,259,-718,1,-51175,71801,-73267
143605000,242,-760,-32,-47328,84396,-65832
143624000,379,-716,123,-41328,86061,-62061
143643000,270,-694,6,-37160,98137,-46488
143662000,328,-696,104,-34152,99465,-29877
143681000,318,-835,66,-34793,105984,-18030
143700000,439,-858,163,-36992,106977,-15114
143719000,428,-891,201,-38717,105893,-10809
143738000,532,-879,197,-40229,106412,-6198
143757000,528,-964,136,-44442,100824,-1145
143776001,552,-962,108,-48687,98458,15618
143795000,690,-1055,92,-56015,92106,29572
143814000,809,-1081,105,-60702,82961,23221
143833000,708,-1015,-12,-59603,78061,931
143852000,703,-873,-80,-55007,81969,-8396
143871000,1104,-955,-48,-58732,68778,-35083
143890000,1190,-897,-33,-60519,50885,-72045
143909000,1026,-721,-221,-60229,35801,-98549
143928000,803,-617,-344,-57358,29847,-83786
143947001,1085,-455,-244,-52137,26335,-53618
143966000,1288,-451,-196,-47374,10198,-58641
143985000,1158,-510,-278,-42015,-1694,-71389
144004000,1086,-612,-253,-33694,-13404,-86671
144023000,1156,-598,-184,-29694,-24702,-78290
144042000,1098,-423,-245,-30595,-35954,-35053
144061000,982,-466,-264,-31083,-45847,412
144080000,986,-451,-286,-22732,-47923,-2595
144099000,960,-179,-317,-2809,-52091,-46778
144118000,701,506,-583,40870,-43190,-137297
144137000,333,1408,-706,103038,-26198,-111969
144156000,200,1324,-722,155801,-33038,71603
144175000,589,373,39,166687,-67755,367969
144194000,852,-1867,179,136091,-129297,500259
