# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
315957000,-76,700,-787,-916,-14183,58106
315976000,-64,668,-763,-534,-12946,55251
315995000,-10,655,-729,381,-12442,49190
316014001,31,672,-722,2732,-16137,39038
316033000,-7,681,-754,4381,-17984,32381
316052000,-18,675,-754,5282,-17832,26900
316071000,-29,663,-765,4503,-16473,21404
316090000,35,629,-721,3755,-17496,13908
316109000,-26,710,-759,4305,-17496,7755
316128000,-60,704,-753,4137,-13419,5969
316147000,-93,690,-786,4778,-8396,-1557
316166000,-80,643,-784,3618,-3557,-12625
316185000,-29,665,-783,3236,-1175,-24854
316204000,-5,733,-813,2900,3129,-25725
316223000,-15,760,-813,4442,9297,-22259
316242000,-11,721,-826,5465,14641,-24427
316261000,-3,704,-826,6961,16702,-32183
316280000,-21,712,-829,8519,19343,-40137
316299000,-25,703,-815,9664,23022,-45145
316318000,-21,750,-820,11160,26625,-47572
316337000,-37,752,-836,12671,32030,-44137
316356000,-69,655,-834,11816,37068,-45984
316375000,-132,633,-853,12564,40625,-60351
316394000,-142,656,-838,12839,42824,-72580
316413000,-281,745,-851,16290,50900,-83083
316432000,-377,729,-806,18732,60473,-96870
316451000,-482,673,-828,20015,78106,-120564
316470000,-466,674,-835,21832,91908,-149526
316489000,-533,699,-825,22381,103664,-177114
316508000,-457,592,-721,16778,119374,-201374
316527000,-167,508,-640,11190,129923,-233694
316546000,780,1166,-532,27786,133725,-216549
316565000,2509,1085,1061,96610,-52396,-144183
316584000,-542,1639,-856,-29206,5282,39755
316603000,-461,949,-1294,-43129,60320,140488
316622000,-32,38,-664,-50793,47267,122503
316641000,301,296,-279,-33190,-5893,32992
316660000,346,678,-555,-22183,-33740,305
316679000,107,833,-784,-24488,-36274,33511
316698000,-13,830,-851,-25114,-37282,73679
316717000,102,730,-727,-23847,-41343,84167
316736002,160,732,-730,-17603,-58015,62687
316755000,17,888,-815,-8488,-65954,58320
316774000,-56,899,-824,-5679,-61389,76213
316793000,-24,779,-786,-3083,-58748,87450
316812000,-50,767,-788,442,-59832,85419
316831000,-87,724,-788,1954,-61633,82977
316850000,-38,696,-757,2778,-62717,77099
316869000,-130,771,-816,5374,-59984,72534
316888000,-99,730,-825,5282,-52900,73618
316907000,-70,670,-804,4564,-50198,72045
316926000,-84,619,-783,2473,-46396,64458
316945000,-46,630,-806,1465,-43954,52610
316964000,-42,696,-837,1587,-40076,51755
316983000,-72,707,-837,-259,-33267,55435
317002000,-51,691,-832,-244,-26045,59526
317021000,-10,634,-817,30,-24473,53587
317040000,-20,611,-816,351,-25618,38732
317059000,-22,664,-863,1312,-23740,31129
317078000,25,660,-864,2045,-20854,30580
317097000,-8,693,-889,5679,-17175,31877
317116000,-2,647,-873,7709,-12473,31740
317135000,5,637,-867,10885,-10885,23923
317154000,29,620,-872,12503,-9175,19114
317173000,31,605,-878,14274,-8076,14992
317192000,-16,591,-906,14305,-4473,11816
317211002,-34,589,-913,15969,198,8213
317230000,-46,578,-885,17007,4687,885
317249000,-44,611,-884,19450,8427,-6732
317268000,-58,587,-901,20061,13526,-9114
317287000,-115,579,-944,21770,18595,-17404
317306000,-119,557,-914,23694,21816,-30091
317325000,-177,568,-940,26473,27664,-42198
317344000,-206,509,-928,26671,35022,-54748
317363000,-294,462,-893,25725,42702,-73053
317382000,-351,460,-878,23175,51725,-93374
317401000,-416,470,-888,19541,65450,-111480
317420000,-416,496,-880,18839,75450,-139083
317439000,-440,527,-877,18076,86381,-165236
317458000,-537,488,-810,13618,96061,-201587
317477000,-540,548,-728,9175,106961,-245328
317496000,-490,668,-675,-2549,120061,-263587
317515000,643,450,-527,-12839,109465,-282809
317534000,2174,2047,-1288,138809,-79694,-264045
317553000,-597,1987,-1693,-30381,-44625,-4763
317572000,36,1118,-810,-42442,15435,143145
317591000,-31,186,-784,-42503,28244,119312
317610000,97,427,-695,-19648,-27709,43526
317629000,52,833,-817,-16381,-33801,53938
317648000,-3,593,-867,-22580,-22595,97786
317667000,33,442,-770,-21435,-34748,77022
317686000,-40,672,-854,-14870,-46946,60931
317705000,-67,701,-875,-14519,-43801,71664
317724000,-57,661,-858,-11145,-43923,71603
317743000,-71,638,-856,-6427,-45755,62137
317762000,-79,667,-882,-671,-46366,55603
317781000,-62,644,-878,2183,-44290,59328
317800000,-56,600,-853,4381,-44061,55282
317819000,-42,610,-870,5893,-44916,49007
317838000,-51,610,-868,6290,-41206,50381
317857000,-46,590,-844,5648,-38045,47648
317876000,-79,558,-883,4748,-33740,43816
317895000,-124,505,-922,3587,-27923,37664
317914000,-142,479,-929,1847,-21969,27145
317933000,-154,488,-956,595,-17526,13099
317952000,-216,538,-1018,-305,-9832,7374
317971000,-189,569,-1008,-1770,-870,6259
317990000,-173,506,-987,-4748,4320,-3755
318009000,-137,547,-1004,-6793,4091,-17328
318028000,-64,634,-969,-8656,2488,-21847
318047000,21,706,-936,-9282,-885,-20656
318066000,53,830,-936,-6839,-4030,-12091
318085000,57,792,-918,-4992,-4229,2152
318104000,146,691,-820,-992,-7282,1816
318123000,178,644,-762,5969,-16061,-12106
318142000,154,624,-826,8320,-18305,-9312
318161000,89,558,-869,5969,-14885,4076
318180000,33,462,-868,1557,-11893,8549
318199000,-4,434,-887,-2534,-11465,-1496
318218000,-69,527,-928,-4045,-7312,-7923
318237000,-71,536,-907,-6412,1007,-6366
318256000,-41,563,-901,-5358,4366,-12702
318275000,-59,687,-909,-3862,9145,-9450
318294002,-16,687,-886,-5221,12152,473
318313000,-2,637,-831,-6519,5725,-2641
318332000,-13,588,-783,-11374,-1603,-8335
318351001,91,632,-722,-14381,-10045,-17053
318370000,42,686,-705,-19129,-11374,-7038
318389000,-19,623,-697,-23633,-9923,3755
318408000,-58,525,-727,-28595,-8717,9160
318427000,-76,426,-699,-35984,-14366,5083
318446000,-42,461,-690,-39267,-23404,-8351
318465000,-59,553,-778,-39419,-30854,-18702
318484000,-82,693,-846,-36580,-32244,-15206
318503000,-88,767,-890,-30824,-22503,5709
318522000,-59,677,-899,-26229,-15145,15435
318541000,6,577,-908,-20290,-15358,6488
318560000,-41,567,-973,-12534,-17893,-11145
318579000,-91,709,-998,-8045,-12396,-10167
318598000,-44,798,-919,-2625,-1603,5770
318617000,-25,729,-885,-519,1374,14748
318636000,-93,713,-889,-183,1664,11496
318655000,-71,726,-857,2656,-992,152
318674000,-103,797,-933,7465,-656,-2900
318693000,-114,790,-1003,9862,6488,2473
318712000,-169,764,-1046,11450,18473,8641
318731000,-186,704,-1015,13374,31572,10793
318750000,-167,549,-901,12854,39282,1786
318769001,-90,415,-826,11938,34839,-16610
318788000,-269,486,-791,12839,31435,-37374
318807000,-536,478,-763,9496,37374,-46213
318826000,-575,487,-708,5099,54106,-60839
318845000,-675,333,-638,-4580,63312,-89282
318864000,-737,400,-534,-6564,67908,-152854
318883000,-539,343,-597,-14442,68473,-208580
318902000,265,199,-370,-30977,48061,-243083
318921000,3999,1614,1494,26427,-108748,-273511
318940000,-659,2134,-1929,-4656,-91114,-116534
318959000,-443,1151,-1204,-43954,-17511,65541
318978000,-467,253,-385,-36488,42778,55908
318997000,21,590,-750,-21251,4290,-29572
319016002,196,1109,-785,-5312,-26702,13114
319035000,395,859,-409,-19206,-24595,114961
319054000,215,732,-784,-26473,-39480,155664
319073000,163,612,-752,-27175,-66564,139129
319092000,16,752,-724,-26076,-80595,117251
319111000,25,901,-712,-22916,-85923,108076
319130000,-74,994,-704,-21709,-83511,121129
319149000,-232,943,-712,-23908,-79450,131664
319168000,-273,810,-695,-25541,-73938,123007
319187000,-224,819,-707,-21984,-71862,100671
319206000,-163,868,-722,-17725,-71770,88076
319225000,-162,850,-695,-17221,-69343,84702
319244000,-230,867,-682,-15282,-63297,84641
319263000,-245,893,-691,-12824,-56549,85435
319282000,-176,877,-721,-7511,-51129,80320
319301000,-156,803,-674,-809,-52381,62137
319320000,-203,800,-686,8366,-51145,45267
319339000,-235,797,-715,13190,-44839,42045
319358000,-125,782,-673,16763,-38045,43923
319377000,-97,751,-656,23328,-38137,33557
319396000,-175,748,-722,29282,-33954,21465
319415000,-191,711,-755,32290,-24900,15374
319434000,-145,666,-726,34045,-14732,9526
319453000,-71,666,-719,35938,-9450,1465
319472000,-135,696,-734,37648,-3419,-1877
319491000,-171,653,-729,38061,5083,-7725
319510000,-180,623,-712,40335,9435,-26534
319529000,-223,634,-745,39786,15755,-42030
319548005,-278,653,-781,37450,25389,-51648
319567000,-347,589,-817,30854,37770,-56595
319586000,-232,654,-739,29923,44793,-79694
319605000,-199,777,-818,30839,48839,-91877
319624000,-146,750,-837,30503,55969,-92595
319643000,-191,709,-866,25893,60702,-100106
319662000,-138,759,-855,27541,63862,-111053
