# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
49577000,1050,4,-9,-2000,-1740,-274
49596000,1048,-2,-11,-2061,-1450,-442
49615000,1044,-2,-9,-1908,-1496,-198
49634000,1051,0,-14,-1969,-1374,-458
49653000,1047,6,-13,-2030,-1694,-259
49672000,1048,1,-7,-1908,-1511,-442
49691000,1058,-1,-5,-2030,-1450,-427
49710000,1042,0,-4,-2244,-1862,-290
49729000,1056,4,4,-1954,-1374,-290
49748000,1052,-2,-21,-1847,-1557,-366
49767000,1055,1,-12,-1908,-1404,-335
49786000,1049,0,-19,-2030,-1603,-320
49805000,1048,1,-7,-2122,-1603,-519
49824000,1055,4,-11,-2244,-1465,-213
49843000,1049,-3,-22,-2045,-1603,-305
49862000,1051,0,-8,-2030,-1526,-412
49881000,1054,8,-9,-1938,-1480,-259
49900000,1056,-3,-9,-2183,-1541,-213
49919000,1054,-1,-19,-2061,-1526,-229
49938000,1055,2,-1,-2106,-1755,-366
49957000,1051,8,-15,-2106,-1526,-427
49976000,1051,0,-11,-2076,-1541,-259
49995000,1048,-3,2,-2229,-1587,-351
50014000,1048,0,-6,-1954,-1801,-274
50033000,1054,3,-14,-2015,-1541,-381
50052000,1048,2,-11,-2198,-1282,-427
50071000,1050,-1,-9,-1954,-1938,-458
50090000,1052,2,-10,-2213,-1801,-305
50109000,1045,3,-17,-2198,-1206,-198
50128000,1053,-4,-21,-1923,-1618,-305
50147000,1053,0,-8,-2045,-1770,-244
50166000,1051,-5,-2,-2122,-1603,-366
50185000,1051,-1,-17,-1923,-1297,-305
50204000,1046,1,-16,-2015,-2045,-305
50223000,1057,0,0,-2061,-1832,-183
50242000,1049,3,-10,-1969,-1404,-335
50261000,1050,3,-8,-2106,-1374,-167
50280000,1055,4,-11,-2000,-1480,-259
50299000,1055,2,1,-1969,-1709,-183
50318000,1049,2,-15,-2015,-1267,-259
50337000,1055,3,-14,-2167,-1480,-290
50356000,1052,-2,-6,-1984,-1664,-290
50375000,1049,1,-10,-2030,-1511,-320
50394000,1050,2,-10,-1984,-1557,-335
50413000,1048,-2,-4,-1984,-1435,-244
50432000,1053,-3,-5,-2076,-1648,-366
50451000,1055,0,-11,-1816,-1633,-381
50470000,1041,0,-8,-1938,-1511,-366
50489000,1050,-6,-5,-2106,-1465,-366
50508000,1052,-3,-14,-2091,-1633,-396
50527000,1055,1,-8,-2106,-1801,-290
50546000,1050,3,-10,-1954,-1419,-167
50565000,1055,-1,-10,-1969,-1664,-106
50584000,1051,-1,-4,-2137,-1969,-259
50603000,1049,1,-5,-1923,-1404,-335
50622000,1047,0,-16,-2015,-1526,-259
50641000,1052,2,-6,-1969,-1679,-366
50660000,1052,0,-6,-2091,-1770,-45
50679000,1052,-3,-4,-2091,-1664,-427
50698000,1049,2,-2,-1847,-1251,-366
50717000,1053,-3,-13,-1923,-1557,-244
50736000,1048,-1,-9,-1969,-1618,-335
50755000,1050,-2,-17,-2106,-1541,-396
50774000,1052,3,-16,-2030,-1435,-351
50793000,1048,5,-3,-2137,-1908,-244
50812000,1053,1,-5,-2213,-1374,-152
50831000,1053,2,-16,-2290,-1435,-335
50850000,1051,1,-7,-1984,-1679,-442
50869000,1051,-1,-8,-2152,-1679,-213
50888000,1054,3,-5,-1877,-1526,-320
50907000,1050,3,-8,-2091,-1419,-351
50926000,1045,2,-10,-2015,-1694,-167
50945000,1055,-5,-4,-2030,-1664,-259
50964000,1044,2,-7,-1984,-1664,-213
50983000,1048,3,-10,-2000,-1557,-259
51002000,1051,0,-15,-1694,-1679,-259
51021000,1047,2,-3,-1954,-1633,-305
51040000,1055,2,-14,-2152,-1419,-335
51059000,1046,2,-12,-1893,-1358,-381
51078000,1051,1,-4,-2122,-1832,-351
51097000,1052,4,-4,-1938,-1572,-305
51116000,1052,0,-13,-1938,-1358,-274
51135000,1050,-1,-19,-2183,-1618,-274
51154000,1051,1,-12,-1877,-1740,-229
51173000,1055,-1,-6,-2030,-1862,-274
51192000,1051,3,-18,-2076,-1282,-213
51211000,1053,7,-8,-1923,-1679,-137
51230000,1053,1,-4,-1908,-1618,-198
51249000,1048,-1,-9,-2167,-1404,-213
51268000,1048,-2,-8,-1908,-1618,-351
51287000,1050,0,-8,-2137,-1603,-290
51306000,1053,-1,-1,-1969,-1816,-305
51325000,1045,0,-8,-2061,-1648,-320
51344001,1049,1,-8,-2045,-1862,-244
51363000,1052,-1,-9,-2137,-1832,-198
51382000,1046,1,-7,-1969,-1389,-366
