# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
455653000,451,918,-113,16641,76045,-9267
455672000,466,907,-73,14274,70702,6961
455691000,374,965,-138,12503,62839,27251
455710000,317,956,-232,10549,68045,41694
455729000,479,885,-160,10000,70641,23267
455748000,680,938,-33,12870,60916,15160
455767004,593,950,-90,13145,44748,32503
455786000,479,969,-292,12534,40091,69190
455805000,596,742,-324,8503,38045,85114
455824000,675,587,-249,3770,35755,75572
455843000,759,568,-340,-1068,29419,65221
455862000,692,360,-337,-19770,18229,70671
455881000,605,239,-523,-37083,19160,80656
455900000,577,26,-458,-70076,17954,68702
455919000,533,-152,-479,-100946,31480,29358
455938000,484,-255,-328,-135129,37816,-39541
455957000,496,-154,-168,-164229,47160,-156900
455976000,556,107,-22,-176290,46381,-323328
455995000,754,423,310,-171557,2900,-500274
456014000,-435,1220,643,-149404,-61007,-500274
456033000,-750,2563,1116,-136213,-92977,-230076
456052000,-838,3182,2180,-74274,-61526,78305
456071000,-400,2820,1484,-10564,-4290,287511
456090000,-260,1732,546,20961,39572,261404
456109000,-118,1193,-34,50809,73053,176961
456128000,192,754,154,66809,78259,73603
456147000,264,518,-18,42106,84519,76305
456166000,529,71,-177,10549,64671,108595
456185002,562,-524,-427,-36580,49145,123984
456204000,537,-831,-746,-91022,46641,32458
456223000,594,-10,-245,-98244,53053,-195099
456242000,1177,474,442,-81755,8946,-500274
456261000,-512,703,397,-76015,-29954,-500274
456280000,-895,1750,900,-101419,-55679,-207053
456299002,-1172,2962,2009,-20305,-36916,107526
456318000,-414,2656,1412,7801,16412,274717
456337000,-244,1294,599,35740,42702,217771
456356000,-134,965,184,69221,72687,86977
456375000,316,475,41,52702,71145,33221
456394000,388,468,207,33755,47160,16961
456413000,233,750,244,29557,31832,38152
456432000,241,896,339,31786,24045,70061
456451000,255,872,360,37618,15938,78213
456470000,245,828,385,38000,14015,60870
456489000,240,890,343,37786,13557,37938
456508000,250,982,418,34534,9236,30931
456527000,260,1031,397,32183,8839,41755
456546000,283,1093,403,34885,3725,54503
456565000,344,1054,347,38351,2580,62702
456584000,381,927,255,41770,-702,56778
456603000,424,833,204,41404,-3328,47541
456622000,487,866,218,41557,-11923,39053
456641000,465,908,178,40763,-18656,44946
456660000,506,901,155,40015,-24290,53770
456679000,523,863,95,38198,-29954,50549
456698000,565,871,95,37114,-38167,42702
456717000,592,876,71,35618,-47679,35297
456736000,634,922,51,35358,-57969,34458
456755000,682,845,9,33694,-67267,40580
456774000,703,797,-97,32931,-79038,47465
456793000,707,814,-115,30870,-93022,58534
456812000,634,779,-176,28854,-101343,68992
456831000,580,643,-267,19312,-104290,69786
456850000,514,516,-296,4229,-105786,70442
456869000,467,331,-322,-18000,-101954,75480
456888000,377,184,-405,-50229,-94045,80167
456907000,325,-47,-451,-91404,-74412,61603
456926000,442,-13,-348,-120717,-46000,-52381
456945000,619,446,-7,-114167,-25145,-282824
456964000,1000,647,445,-75022,-65679,-500274
456983000,-387,1320,485,-56183,-110396,-500274
457002000,-1659,2283,646,-66335,-121297,-222274
457021000,-1119,2682,1813,21709,-77022,151267
457040000,-80,2654,1663,46961,-42503,333160
457059000,23,1608,556,85816,-38274,210916
457078000,-214,1391,209,149541,-9450,90351
457097000,93,569,-303,131908,-4259,58900
457116000,426,208,-186,97740,-10748,115541
457135000,411,79,-706,65083,-18900,145816
457154000,484,-138,-829,20748,-25160,182778
457173000,699,-377,-918,-36427,-10916,146351
457192000,957,100,-562,-57465,-7038,-40381
457211000,1097,854,29,-34259,-21206,-324320
457230000,850,845,233,-14015,-77938,-500274
457249000,-1015,1237,172,-320,-67740,-440824
457268000,-1349,2579,687,12091,-6717,-54717
457287000,-793,2857,1297,78106,1190,271068
457306000,-46,1809,439,100305,5603,284091
457325000,-5,1115,-7,140351,8198,189801
457344000,287,362,-425,158534,23908,19328
457363000,467,23,-441,119969,14793,-16580
457382000,118,461,-468,98595,17450,-24519
457401000,135,683,-438,78809,18229,33022
457420000,205,715,-281,70564,16809,61007
