Timestamp,Data
2025-01-08T14:50:07.096083,3:4,5:0,5:4,7:0,6:4,8:0,7:4,6:0,0:4,7:0,7:0,7:0,7:0,5:4,5:4,4:4,-3:4,1:4,6:0,6:0,4:4,5:4,6:4,4:4,-9:4,1:4,7:0,6:4,8:0,6:4,5:4,7:4,-14:4,-1:4,7:0,6:4,4:4,6:4,5:4,4:4,-7:4,2:4,6:0,5:4,7:0,6:4,7:4,4:4,-9:4,3:4,7:0,7:0,6:4,7:4,10:0,8:0,-1:4,5:0,10:0,8:0,6:4,7:4,10:0,7:0,
2025-01-08T14:50:07.188794,2:4,5:0,4:4,6:0,6:4,8:0,6:4,5:4,0:4,7:0,6:0,6:0,6:4,6:4,5:4,3:4,-4:4,0:4,5:0,6:4,4:4,5:4,6:4,3:4,-10:4,1:4,6:0,5:4,7:0,6:4,4:4,7:4,-14:4,-1:4,6:0,6:4,3:4,4:4,4:4,4:4,-8:4,1:4,5:0,6:4,6:4,4:4,7:4,4:4,-9:4,2:4,5:0,6:0,5:4,6:4,9:0,7:0,-2:4,4:0,10:0,8:0,5:4,6:4,9:0,7:0,
2025-01-08T14:50:07.295753,3:4,6:0,5:4,7:0,7:0,8:0,7:4,6:4,0:4,8:0,7:0,7:0,8:0,5:4,5:4,4:4,-3:4,1:4,6:0,7:0,4:4,6:4,5:4,3:4,-9:4,2:4,6:0,5:4,8:0,6:4,4:4,6:4,-14:4,-1:4,7:0,6:0,4:4,6:4,5:4,5:4,-7:4,1:4,6:0,6:0,8:0,5:4,7:4,5:4,-9:4,3:4,7:0,7:0,6:4,6:4,9:0,7:0,-1:4,5:0,10:0,8:0,6:4,8:0,10:0,7:0,
2025-01-08T14:50:07.388738,2:4,5:0,4:4,6:0,5:4,7:0,6:4,5:4,0:4,7:0,7:0,6:0,7:0,4:4,4:4,3:4,-3:4,0:4,5:4,6:0,3:4,5:4,6:4,3:4,-9:4,1:4,6:0,6:4,7:0,6:4,3:4,6:4,-14:4,-1:4,6:0,5:4,3:4,4:4,4:4,3:4,-7:4,1:4,5:0,6:4,6:4,5:4,7:4,4:4,-9:4,2:4,7:0,6:0,5:4,6:4,9:0,8:0,-3:4,5:0,10:0,8:0,5:4,6:4,9:0,6:0,
2025-01-08T14:50:07.489288,3:4,5:0,5:0,7:0,6:4,9:0,7:4,5:4,1:4,7:0,7:0,7:0,8:0,6:4,5:4,4:4,-3:4,1:4,6:0,7:0,4:4,6:4,6:4,4:4,-9:4,2:4,7:0,6:4,8:0,6:4,4:4,8:0,-14:4,-1:4,7:0,6:4,4:4,5:4,5:4,5:4,-7:4,2:4,6:0,7:0,7:0,5:4,7:4,5:4,-8:4,3:4,7:0,7:0,7:0,7:0,9:0,8:0,-1:4,5:0,10:0,8:0,6:4,8:0,10:0,8:0,
2025-01-08T14:50:07.586288,2:4,6:0,4:4,6:0,6:4,7:0,7:4,6:0,0:4,7:0,6:0,7:0,7:0,5:4,3:4,4:4,-3:4,0:4,5:0,6:0,4:4,5:4,5:4,3:4,-10:4,1:4,6:0,6:4,8:0,7:4,5:4,6:4,-14:4,-1:4,6:0,5:4,4:4,5:4,5:4,4:4,-7:4,1:4,6:0,5:4,7:0,5:4,7:4,5:4,-9:4,3:4,6:0,7:0,5:4,7:4,9:0,7:0,-2:4,4:0,10:0,7:0,5:4,6:4,10:0,7:0,
2025-01-08T14:50:07.683784,2:4,6:0,5:4,7:0,6:4,8:0,6:4,6:4,1:4,8:0,8:0,7:0,8:0,6:4,5:4,4:4,-3:4,1:4,6:0,7:0,4:4,6:4,6:4,4:4,-9:4,2:4,7:0,6:4,7:0,7:4,4:4,7:4,-13:4,-1:4,7:0,6:4,4:4,5:4,5:4,4:4,-7:4,2:4,6:0,6:4,7:0,6:4,7:4,4:4,-8:4,3:4,7:0,7:0,7:0,7:0,9:0,8:0,-1:4,5:0,10:0,9:0,6:4,7:4,9:0,7:0,
2025-01-08T14:50:07.784907,2:4,6:0,4:4,6:0,6:4,8:0,6:4,5:4,0:4,7:0,7:0,7:0,7:0,5:4,5:4,3:4,-3:4,0:4,5:0,6:4,4:4,5:4,5:4,3:4,-9:4,2:4,6:0,6:4,6:4,6:4,5:4,7:4,-14:4,-1:4,6:0,6:4,3:4,4:4,5:4,4:4,-8:4,1:4,6:0,5:4,7:0,4:4,7:4,5:4,-9:4,3:4,6:0,7:0,5:4,6:4,8:0,8:0,-2:4,4:0,10:0,8:0,6:4,7:4,9:0,7:0,
2025-01-08T14:50:07.887889,3:4,6:0,4:4,7:0,6:4,9:0,6:4,5:4,0:4,8:0,7:0,8:0,8:0,5:4,5:4,5:4,-3:4,1:4,6:0,6:0,4:4,6:4,6:4,4:4,-9:4,3:4,7:0,6:4,7:0,7:4,4:4,7:4,-13:4,0:4,7:0,6:0,4:4,5:4,6:4,5:4,-7:4,2:4,6:0,7:0,7:0,5:4,7:4,4:4,-8:4,3:4,7:0,7:0,6:4,6:4,9:0,8:0,-1:4,5:0,11:0,8:0,6:4,7:0,10:0,8:0,
2025-01-08T14:50:07.985544,2:4,6:0,4:4,6:0,6:4,8:0,6:4,5:4,0:4,7:0,7:0,7:0,7:0,5:4,4:4,4:4,-3:4,0:4,6:0,6:4,4:4,5:4,6:4,4:4,-9:4,2:4,7:0,6:4,7:0,5:4,4:4,7:4,-14:4,-1:4,6:0,5:4,4:4,5:4,4:4,4:4,-7:4,1:4,6:0,5:4,7:0,5:4,6:4,4:4,-9:4,2:4,6:0,6:0,5:4,6:4,9:0,8:0,-2:4,5:0,10:0,7:0,5:4,6:4,10:0,7:0,
2025-01-08T14:50:08.081959,3:4,6:0,5:4,7:0,7:0,9:0,7:4,6:4,0:4,8:0,7:0,7:0,7:0,6:4,5:4,3:4,-2:4,1:4,6:0,6:4,4:4,6:4,7:4,4:4,-8:4,2:4,7:0,6:4,8:0,7:4,5:4,7:4,-12:4,0:4,7:0,6:0,4:4,6:4,5:4,6:4,-7:4,1:4,6:0,6:0,7:0,5:4,7:4,5:4,-8:4,4:4,6:0,7:0,7:0,7:0,10:0,8:0,-1:4,5:0,11:0,8:0,6:4,7:4,10:0,8:0,
2025-01-08T14:50:08.182042,2:4,5:0,4:4,6:0,6:4,8:0,6:4,5:4,0:4,7:0,6:0,7:0,7:0,4:4,5:4,4:4,-3:4,1:4,5:0,6:4,4:4,4:4,6:4,4:4,-9:4,2:4,7:0,6:4,7:0,6:4,3:4,7:4,-13:4,-1:4,6:0,5:4,3:4,5:4,5:4,5:4,-7:4,0:4,6:0,6:4,7:0,5:4,7:4,4:4,-9:4,2:4,6:0,6:0,6:4,5:4,9:0,8:0,-2:4,5:0,10:0,8:0,5:4,6:4,10:0,7:0,
2025-01-08T14:50:08.284317,3:4,6:0,4:4,7:0,6:4,8:0,7:4,6:0,0:4,8:0,7:0,7:0,7:0,6:4,6:4,4:4,-3:4,1:4,6:0,6:0,5:4,5:4,6:4,4:4,-9:4,3:4,7:0,6:0,8:0,6:4,5:4,8:0,-13:4,0:4,7:0,6:0,5:4,6:4,5:4,5:4,-7:4,1:4,7:0,7:0,8:0,5:4,7:4,5:4,-8:4,3:4,7:0,7:0,6:0,6:4,10:0,8:0,-1:4,5:0,11:0,9:0,6:4,8:0,9:0,8:0,
2025-01-08T14:50:08.391606,2:4,6:0,5:4,6:0,5:4,8:0,6:4,5:4,0:4,7:0,6:0,6:0,6:4,5:4,4:4,4:4,-3:4,0:4,5:0,6:0,4:4,4:4,5:4,3:4,-9:4,1:4,7:0,5:4,7:0,6:4,4:4,7:4,-13:4,0:4,6:0,6:4,4:4,4:4,4:4,5:4,-7:4,1:4,6:0,6:0,7:0,5:4,7:4,4:4,-9:4,2:4,6:0,6:0,6:0,5:4,9:0,7:0,-1:4,5:0,10:0,8:0,6:4,7:4,10:0,6:0,
2025-01-08T14:50:08.483617,2:4,6:0,5:4,7:0,7:0,8:0,6:4,6:4,0:4,8:0,7:0,7:0,7:0,6:4,5:4,4:4,-2:4,1:4,6:0,6:0,5:4,6:4,6:4,4:4,-8:4,2:4,7:0,6:4,8:0,7:4,5:4,8:0,-13:4,0:4,7:0,6:4,4:4,5:4,6:4,6:4,-7:4,1:4,6:0,6:4,7:0,5:4,8:0,5:4,-8:4,3:4,7:0,7:0,7:0,6:4,9:0,9:0,-1:4,5:0,11:0,8:0,6:4,8:0,10:0,7:0,
2025-01-08T14:50:08.585708,2:4,5:0,5:4,6:0,6:4,8:0,6:4,5:4,0:4,7:0,6:0,7:0,8:0,6:4,5:4,3:4,-3:4,0:4,6:0,6:0,5:4,5:4,4:4,3:4,-9:4,2:4,6:0,6:4,7:0,6:4,4:4,6:4,-13:4,0:4,6:0,5:4,4:4,5:4,4:4,5:4,-7:4,1:4,6:0,6:4,7:0,5:4,7:4,4:4,-9:4,2:4,6:0,7:0,6:4,6:4,9:0,8:0,-2:4,5:0,10:0,8:0,5:4,7:4,10:0,8:0,
2025-01-08T14:50:08.681529,2:4,6:0,5:4,7:0,7:0,8:0,6:4,6:0,0:4,8:0,7:0,7:0,8:0,5:4,6:4,4:4,-2:4,1:4,6:0,6:0,4:4,7:4,6:4,4:4,-8:4,2:4,7:0,7:0,8:0,7:4,5:4,7:4,-13:4,0:4,7:0,6:4,4:4,6:4,5:4,4:4,-7:4,2:4,6:0,6:0,8:0,5:4,7:4,5:4,-8:4,3:4,7:0,8:0,6:4,6:4,10:0,8:0,-1:4,5:0,11:0,8:0,5:4,7:4,10:0,8:0,
2025-01-08T14:50:08.785057,2:4,6:0,4:4,6:0,6:4,8:0,7:4,5:4,0:4,7:0,6:0,7:0,7:0,5:4,5:4,3:4,-3:4,0:4,5:0,7:0,4:4,5:4,6:4,3:4,-8:4,2:4,6:0,6:4,7:0,6:4,4:4,6:4,-13:4,0:4,7:0,5:4,3:4,5:4,4:4,4:4,-7:4,1:4,6:0,6:4,7:0,4:4,7:4,5:4,-9:4,2:4,6:0,7:0,5:4,6:4,9:0,8:0,-2:4,5:0,10:0,8:0,5:4,6:4,10:0,8:0,
2025-01-08T14:50:08.875773,3:4,6:0,5:4,7:0,6:4,8:0,6:4,6:0,1:4,8:0,7:0,7:0,7:0,6:4,5:4,4:4,-3:4,1:4,6:0,6:0,5:4,6:4,7:4,3:4,-8:4,3:4,8:0,6:4,8:0,7:4,5:4,7:4,-12:4,0:4,7:0,6:0,4:4,5:4,5:4,5:4,-6:4,1:4,6:0,6:4,7:0,5:4,8:0,4:4,-8:4,3:4,7:0,7:0,6:4,6:4,9:0,8:0,-1:4,5:0,10:0,8:0,6:4,7:4,10:0,7:0,
2025-01-08T14:50:08.980590,2:4,6:0,5:4,7:0,6:4,8:0,6:4,5:4,0:4,7:0,7:0,7:0,7:0,6:4,5:4,3:4,-3:4,0:4,6:0,6:4,4:4,5:4,5:4,4:4,-9:4,2:4,6:0,5:4,7:0,6:4,4:4,7:4,-13:4,0:4,6:0,6:4,3:4,4:4,5:4,4:4,-7:4,1:4,6:0,6:4,6:4,4:4,7:4,4:4,-8:4,2:4,6:0,6:0,6:4,6:4,9:0,7:0,-1:4,5:0,10:0,8:0,5:4,7:4,10:0,6:0,
2025-01-08T14:50:09.074795,3:4,6:0,5:4,7:0,7:0,7:0,7:4,6:4,1:4,7:0,7:0,8:0,8:0,7:4,6:4,3:4,-2:4,1:4,6:0,7:0,5:4,6:4,6:4,4:4,-8:4,3:4,7:0,6:4,8:0,8:0,4:4,8:0,-12:4,0:4,7:0,6:4,4:4,6:4,5:4,4:4,-7:4,1:4,6:0,7:0,8:0,5:4,7:4,5:4,-8:4,3:4,7:0,8:0,6:0,7:4,10:0,7:0,-1:4,5:0,10:0,8:0,6:4,7:4,9:0,7:0,
2025-01-08T14:50:09.175028,2:4,5:0,4:4,7:0,6:4,8:0,6:4,6:4,1:4,7:0,6:0,7:0,8:0,5:4,5:4,4:4,-3:4,0:4,5:0,6:0,4:4,5:4,5:4,3:4,-8:4,2:4,7:0,6:4,7:0,6:4,4:4,6:4,-13:4,-1:4,7:0,6:4,3:4,5:4,4:4,4:4,-7:4,1:4,6:0,6:4,7:0,5:4,7:4,4:4,-8:4,3:4,6:0,7:0,6:4,6:4,8:0,8:0,-1:4,5:0,10:0,7:0,6:4,7:4,9:0,7:0,
2025-01-08T14:50:09.280637,2:4,6:0,5:4,7:0,7:0,8:0,7:4,7:0,1:4,8:0,7:0,7:0,7:0,6:4,5:4,4:4,-3:4,1:4,6:0,7:0,5:4,5:4,6:4,4:4,-8:4,2:4,8:0,6:4,8:0,6:4,5:4,7:4,-12:4,0:4,7:0,6:0,4:4,6:4,4:4,5:4,-7:4,2:4,6:0,6:0,8:0,5:4,8:0,6:4,-8:4,3:4,7:0,8:0,6:0,7:4,9:0,8:0,-1:4,5:0,11:0,8:0,6:4,7:4,10:0,8:0,
2025-01-08T14:50:09.379059,2:4,6:0,4:4,6:0,6:4,8:0,6:4,5:4,0:4,8:0,6:0,7:0,7:0,5:4,5:4,4:4,-3:4,1:4,5:4,6:4,4:4,5:4,5:4,3:4,-8:4,2:4,6:0,6:4,7:0,7:4,4:4,7:4,-13:4,-1:4,6:0,6:4,4:4,5:4,5:4,5:4,-8:4,1:4,5:0,5:4,7:0,5:4,7:4,5:4,-8:4,2:4,6:0,6:0,6:4,5:4,9:0,8:0,-1:4,5:0,10:0,8:0,6:4,7:4,9:0,6:0,
2025-01-08T14:50:09.479048,3:4,6:0,5:4,8:0,6:4,8:0,7:4,8:0,1:4,8:0,7:0,7:0,7:0,5:4,5:4,5:4,-2:4,1:4,6:0,6:0,5:4,6:4,6:4,4:4,-8:4,2:4,7:0,6:0,8:0,6:4,4:4,8:0,-12:4,0:4,7:0,7:0,5:4,5:4,4:4,5:4,-7:4,2:4,6:0,7:0,8:0,5:4,8:0,4:4,-8:4,3:4,7:0,7:0,6:0,6:4,9:0,9:0,-1:4,5:0,10:0,8:0,6:4,7:4,10:0,8:0,
2025-01-08T14:50:09.579077,2:4,5:0,5:4,6:0,6:4,8:0,6:4,5:4,0:4,7:0,6:0,6:0,7:0,5:4,5:4,3:4,-3:4,0:4,6:0,6:4,5:4,5:4,5:4,4:4,-8:4,2:4,6:0,6:4,7:0,6:4,4:4,7:4,-13:4,-1:4,6:0,5:4,3:4,5:4,5:4,5:4,-7:4,1:4,6:0,6:4,7:0,4:4,7:4,4:4,-8:4,3:4,6:0,6:0,5:4,6:4,8:0,8:0,-1:4,5:0,10:0,7:0,5:4,7:4,9:0,6:4,
2025-01-08T14:50:09.677475,2:4,6:0,5:4,6:0,6:4,8:0,7:4,5:4,1:4,8:0,7:0,7:0,7:0,6:4,5:4,4:4,-2:4,1:4,6:0,7:0,5:4,6:4,6:4,4:4,-8:4,2:4,8:0,6:4,8:0,7:4,4:4,7:4,-12:4,0:4,7:0,6:4,5:4,5:4,6:4,5:4,-7:4,2:4,7:0,7:0,7:0,5:4,7:4,4:4,-8:4,3:4,7:0,7:0,7:0,6:4,10:0,8:0,-1:4,5:0,10:0,9:0,5:4,7:4,9:0,7:0,
2025-01-08T14:50:09.773014,2:4,6:0,5:4,6:0,6:4,8:0,6:4,6:0,1:4,7:0,7:0,6:0,8:0,5:4,5:4,3:4,-3:4,1:4,5:4,6:4,4:4,5:4,6:4,4:4,-8:4,2:4,6:0,7:0,8:0,7:4,4:4,6:4,-13:4,0:4,6:0,6:4,3:4,5:4,3:4,4:4,-8:4,1:4,5:0,6:4,7:0,5:4,6:4,4:4,-8:4,3:4,6:0,7:0,6:4,6:4,9:0,8:0,-1:4,5:0,10:0,8:0,6:4,7:4,10:0,8:0,
2025-01-08T14:50:09.871406,3:4,6:0,5:4,6:0,7:0,8:0,7:4,6:4,1:4,8:0,8:0,7:0,8:0,6:4,6:4,4:4,-2:4,1:4,6:0,7:0,5:4,6:4,6:4,3:4,-8:4,3:4,8:0,7:0,8:0,6:4,5:4,8:0,-12:4,0:4,7:0,7:0,4:4,6:4,5:4,4:4,-7:4,2:4,6:0,6:0,8:0,5:4,7:4,5:4,-8:4,3:4,7:0,8:0,6:0,7:4,9:0,8:0,0:4,5:0,10:0,8:0,6:4,7:0,10:0,8:0,
