Timestamp,Data
2025-01-17T15:23:55.035385,X:X,X:X,X:X,X:X,800:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,833:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,806:10,844:10,X:X,X:X,X:X,X:X,X:X,X:X,869:10,852:4,X:X,X:X,X:X,X:X,X:X,X:X,897:4,X:X,X:X,X:X,X:X,X:X,X:X,X:X,933:10,X:X,X:X,X:X,X:X,1063:10,881:10,907:10,X:X,X:X,X:X,X:X,X:X,701:10,733:10,702:4,747:5,X:X,X:X,X:X,
2025-01-17T15:23:56.056519,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,824:10,834:10,903:10,X:X,X:X,X:X,X:X,576:10,607:10,614:10,641:10,789:5,856:10,X:X,X:X,427:10,485:4,535:4,569:4,636:10,799:10,672:10,609:10,355:10,456:4,448:4,426:4,400:4,377:10,364:10,493:10,
2025-01-17T15:23:57.076187,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,804:10,816:10,791:10,X:X,X:X,X:X,876:10,690:10,513:10,586:10,592:10,619:10,653:10,X:X,395:10,381:4,411:4,467:4,502:10,558:10,623:10,X:X,294:4,315:4,401:4,458:5,450:4,442:4,408:10,387:10,223:4,265:4,335:5,424:5,428:4,397:4,341:4,334:4,195:5,229:4,294:5,417:5,407:5,364:5,317:5,297:5,
2025-01-17T15:23:58.036508,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,804:9,844:5,803:5,X:X,X:X,X:X,X:X,977:4,626:5,622:5,595:5,658:5,648:5,X:X,838:4,404:5,426:5,471:5,562:5,591:5,619:5,X:X,296:5,334:5,396:5,443:5,450:5,458:5,405:5,378:5,237:5,275:5,324:5,424:5,443:5,415:5,365:5,336:5,203:5,224:5,283:5,383:5,438:5,388:5,325:5,315:5,
2025-01-17T15:23:58.995578,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,1019:4,X:X,X:X,X:X,X:X,
2025-01-17T15:24:00.075424,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,
2025-01-17T15:24:00.976893,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,736:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,762:10,768:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,774:10,806:10,X:X,X:X,X:X,X:X,X:X,X:X,768:10,786:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,797:10,816:10,X:X,X:X,X:X,X:X,X:X,X:X,899:10,835:10,X:X,X:X,X:X,X:X,X:X,956:10,862:10,X:X,X:X,X:X,
2025-01-17T15:24:01.995198,X:X,X:X,X:X,X:X,X:X,729:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,766:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,783:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,814:10,X:X,X:X,X:X,X:X,X:X,X:X,X:X,870:10,X:X,X:X,X:X,X:X,1086:10,904:10,923:5,X:X,X:X,X:X,X:X,831:10,778:10,774:10,856:5,X:X,X:X,X:X,711:10,631:10,611:10,634:4,673:5,X:X,X:X,X:X,
2025-01-17T15:24:03.013906,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,809:10,670:10,632:10,713:10,X:X,X:X,X:X,X:X,480:10,593:10,607:4,621:4,662:4,882:10,744:10,X:X,414:10,449:4,478:4,476:4,478:4,744:10,635:10,614:10,350:4,427:4,440:5,413:4,384:4,362:10,336:10,336:10,
2025-01-17T15:24:03.976381,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,X:X,1049:10,X:X,X:X,X:X,X:X,X:X,851:10,721:10,690:10,723:10,X:X,X:X,X:X,841:5,448:4,550:5,600:5,606:10,650:10,X:X,X:X,319:5,402:5,426:5,462:5,450:4,495:4,407:4,X:X,258:5,335:5,426:5,443:5,418:5,400:5,353:4,333:4,224:5,287:5,376:5,438:5,399:5,364:5,314:5,302:5,
