Timestamp,Data
2025-01-07T14:53:18.696510,,7:0,6:0,7:0,10:0,12:0,11:0,8:4,1:4,0:4,5:0,6:0,6:0,10:0,13:0,9:4,2:4,4:0,6:0,4:0,8:0,10:0,11:0,11:0,0:4,2:4,6:0,6:0,4:4,10:0,11:0,10:4,3:0,4:0,5:0,5:0,9:0,10:0,14:0,10:0,3:4,5:0,7:0,8:0,8:0,12:0,15:0,12:0,4:0,5:0,10:0,11:0,10:0,12:0,15:0,12:0,
2025-01-07T14:53:18.717705,2:4,5:0,5:0,8:0,10:0,16:0,13:0,10:0,2:4,7:0,7:0,8:0,11:0,12:0,12:0,8:4,1:4,0:4,5:0,5:0,6:0,11:0,12:0,8:4,2:4,3:4,7:0,4:0,8:0,12:0,11:0,12:0,0:4,2:4,6:0,6:0,5:0,9:0,12:0,10:4,5:0,4:0,5:0,6:0,9:0,10:0,13:0,10:0,4:0,6:0,7:0,8:0,9:0,12:0,16:0,13:0,3:0,5:0,11:0,10:0,10:0,14:0,15:0,12:0,
2025-01-07T14:53:18.725840,2:4,4:0,5:0,7:0,9:0,14:0,12:0,9:0,3:4,6:0,7:0,7:0,9:0,11:0,10:0,7:4,2:4,0:4,5:0,5:0,5:0,10:0,12:0,8:4,0:4,2:4,7:0,4:4,7:0,11:0,9:0,12:0,-3:4,0:4,5:0,5:0,5:0,9:0,11:0,10:0,4:0,4:0,5:0,6:0,9:0,10:0,13:0,10:0,3:4,3:4,7:0,8:0,8:0,12:0,15:0,12:0,2:4,4:0,11:0,10:0,9:0,13:0,15:0,11:0,
2025-01-07T14:53:18.738155,2:4,4:0,5:0,8:0,10:0,15:0,11:0,11:0,5:0,6:0,6:0,7:0,10:0,12:0,11:0,8:4,3:4,-1:4,5:0,5:0,6:0,11:0,12:0,9:4,2:4,2:4,7:0,5:0,8:0,11:0,10:0,12:0,0:4,0:4,6:0,6:0,4:4,10:0,12:0,9:4,4:0,2:4,6:0,6:0,8:0,10:0,13:0,10:0,3:4,3:4,7:0,8:0,8:0,12:0,16:0,11:0,2:4,4:0,11:0,9:0,10:0,13:0,15:0,11:0,
2025-01-07T14:53:18.750156,0:4,2:4,3:4,7:0,10:0,15:0,11:0,9:0,3:4,4:0,5:0,7:0,9:0,11:0,10:0,7:4,5:0,-2:4,3:4,5:0,5:0,10:0,11:0,6:4,1:4,1:4,6:0,4:0,8:0,10:0,10:0,11:0,-3:4,0:4,5:0,5:0,4:4,9:0,10:0,9:4,4:0,2:4,4:0,4:0,8:0,10:0,12:0,9:4,1:4,2:4,6:0,8:0,7:0,11:0,15:0,12:0,1:4,4:0,11:0,10:0,9:0,12:0,14:0,10:0,
2025-01-07T14:53:18.759875,1:4,1:4,3:4,7:0,10:0,15:0,11:0,9:0,2:4,4:0,4:0,7:0,10:0,11:0,11:0,8:4,4:0,-1:4,3:4,5:0,6:0,11:0,12:0,7:4,2:4,1:4,6:0,5:0,8:0,11:0,11:0,12:0,-3:4,-1:4,5:0,5:0,5:0,10:0,11:0,9:4,4:0,1:4,5:0,5:0,9:0,11:0,14:0,8:4,1:4,2:4,6:0,8:0,8:0,11:0,16:0,13:0,2:4,4:0,11:0,9:0,10:0,13:0,14:0,11:0,
2025-01-07T14:53:18.779353,0:4,1:4,3:4,6:0,10:0,13:0,11:0,8:0,1:4,3:4,4:0,6:0,9:0,11:0,9:0,8:4,4:0,-3:4,3:4,4:4,5:0,10:0,11:0,7:4,2:4,1:4,4:0,5:0,8:0,10:0,10:0,12:0,-4:4,-1:4,5:0,4:0,4:4,10:0,11:0,9:4,4:0,0:4,3:4,5:0,8:0,10:0,13:0,9:4,1:4,1:4,60:4,0:4,3:4,6:0,10:0,13:0,10:0,9:0,2:4,1:4,4:0,6:0,8:0,10:0,9:0,7:4,0:4,-3:4,2:4,3:4,6:0,10:0,11:0,7:4,0:4,0:4,4:0,4:4,7:0,10:0,10:0,10:0,-3:4,-2:4,4:0,3:4,4:4,8:0,10:0,8:4,0:4,0:4,3:4,4:0,9:0,10:0,12:0,9:4,0:4,1:4,5:0,6:0,8:0,11:0,13:0,12:0,1:4,3:4,10:0,8:0,10:0,12:0,13:0,11:0,
2025-01-07T14:53:18.866887,1:4,1:4,3:4,6:0,10:0,14:0,12:0,11:0,2:4,1:4,5:0,6:0,10:0,11:0,10:0,7:4,1:4,-3:4,2:4,4:4,7:0,10:0,12:0,6:4,1:4,1:4,5:0,5:0,8:0,11:0,9:0,11:0,-1:4,-2:4,5:0,4:4,4:4,9:0,11:0,8:4,0:4,0:4,3:4,5:0,9:0,11:0,13:0,8:4,1:4,1:4,6:0,6:0,8:0,10:0,15:0,13:0,1:4,3:4,10:0,9:0,10:0,12:0,14:0,12:0,
2025-01-07T14:53:18.968657,0:4,1:4,2:4,6:0,10:0,13:0,10:0,8:0,2:4,0:4,4:0,5:0,10:0,10:0,9:0,7:4,0:4,-3:4,2:4,3:4,6:0,10:0,11:0,7:4,1:4,0:4,4:0,4:4,7:0,11:0,10:0,11:0,-3:4,-2:4,5:0,3:4,4:4,10:0,10:0,8:4,0:4,0:4,3:4,4:0,8:0,11:0,12:0,8:4,1:4,1:4,6:0,6:0,8:0,11:0,15:0,12:0,1:4,2:4,9:0,8:0,10:0,12:0,14:0,11:0,
2025-01-07T14:53:19.066225,1:4,1:4,3:4,7:0,10:0,15:0,10:0,9:0,2:4,1:4,4:0,6:0,10:0,11:0,10:0,7:4,1:4,-2:4,2:4,4:0,6:0,11:0,11:0,8:4,1:4,1:4,5:0,5:0,7:0,11:0,10:0,12:0,-3:4,-2:4,5:0,4:4,4:4,9:0,10:0,9:4,0:4,0:4,3:4,5:0,9:0,11:0,12:0,9:4,1:4,2:4,6:0,7:0,9:0,11:0,15:0,11:0,1:4,3:4,10:0,9:0,10:0,13:0,15:0,10:0,
2025-01-07T14:53:19.165668,0:4,1:4,2:4,6:0,10:0,14:0,10:0,9:0,2:4,0:4,4:0,6:0,10:0,10:0,9:0,6:4,1:4,-3:4,2:4,3:4,6:0,11:0,11:0,7:4,0:4,0:4,4:0,4:4,7:0,11:0,9:0,12:0,-3:4,-2:4,5:0,3:4,4:4,9:0,11:0,8:4,0:4,0:4,3:4,4:0,9:0,9:0,12:0,8:4,1:4,1:4,5:0,5:0,8:0,10:0,14:0,11:0,1:4,3:4,10:0,9:0,9:0,12:0,14:0,10:0,
