Timestamp,Data
2025-01-07T15:30:30.893004,,16:0,21:0,22:0,21:0,618:0,13:4,16:0,20:0,18:0,23:0,23:0,21:0,X:X,1166:4,15:0,14:0,19:0,22:0,22:0,22:0,X:X,1075:0,15:0,18:0,20:0,22:0,22:0,24:0,X:X,X:X,14:0,15:0,19:0,21:0,20:0,23:0,X:X,119:0,18:0,16:0,18:0,21:0,23:0,21:0,X:X,149:0,17:0,18:0,19:0,21:0,23:0,23:0,X:X,329:0,16:0,19:0,23:0,22:0,22:0,22:0,X:X,12:4,
2025-01-07T15:30:30.978398,14:0,16:0,16:0,20:0,21:0,21:0,736:0,11:4,16:0,19:0,18:0,20:0,22:0,20:0,X:X,1224:0,14:0,13:0,18:0,21:0,21:0,22:0,650:13,1322:4,15:0,16:0,18:0,21:0,22:0,20:0,X:X,1154:13,13:0,15:0,19:0,20:0,20:0,21:0,X:X,323:4,17:0,16:0,18:0,19:0,21:0,21:0,X:X,147:0,16:0,18:0,19:0,20:0,21:0,19:0,X:X,136:0,16:0,18:0,22:0,21:0,21:0,21:0,X:X,13:4,
2025-01-07T15:30:31.050293,14:0,18:0,17:0,22:0,23:0,20:0,634:0,12:4,17:0,20:0,18:0,20:0,22:0,20:0,X:X,688:4,16:0,13:0,18:0,22:0,21:0,23:0,X:X,1200:0,16:0,17:0,18:0,22:0,24:0,22:0,X:X,X:X,14:0,16:0,20:0,21:0,20:0,22:0,X:X,328:0,18:0,17:0,18:0,20:0,23:0,21:0,X:X,333:4,16:0,18:0,19:0,21:0,24:0,21:0,216:13,279:0,16:0,18:0,22:0,22:0,22:0,21:0,X:X,15:4,
2025-01-07T15:30:31.122153,14:0,17:0,16:0,22:0,22:0,21:0,685:0,12:4,16:0,19:0,19:0,21:0,23:0,19:0,531:13,633:4,16:0,13:0,18:0,21:0,19:0,22:0,524:13,1217:0,15:0,17:0,18:0,21:0,22:0,23:0,X:X,X:X,12:0,15:0,19:0,21:0,19:0,22:0,X:X,325:0,18:0,16:0,18:0,20:0,23:0,20:0,X:X,148:0,17:0,17:0,18:0,20:0,22:0,20:0,X:X,137:0,16:0,18:0,22:0,21:0,21:0,22:0,X:X,12:4,
2025-01-07T15:30:31.166813,14:0,16:0,16:0,21:0,22:0,22:0,393:4,13:4,16:0,20:0,20:0,20:0,22:0,21:0,X:X,771:4,15:0,13:0,19:0,22:0,21:0,23:0,763:4,729:4,15:0,17:0,19:0,22:0,24:0,21:0,X:X,X:X,13:0,15:0,19:0,20:0,19:0,22:0,X:X,327:0,17:0,16:0,19:0,20:0,23:0,22:0,1294:13,335:4,17:0,18:0,20:0,21:0,23:0,22:0,X:X,186:0,16:0,18:0,22:0,20:0,22:0,21:0,X:X,14:4,
2025-01-07T15:30:32.064425,15:0,17:0,16:0,20:0,22:0,21:0,666:4,11:4,16:0,20:0,19:0,21:0,21:0,21:0,X:X,1100:4,16:0,13:0,18:0,21:0,20:0,22:0,7811:6,14:6,13:6,19:6,18:6,18:6,17:6,9:6,13:6,17:6,15:6,18:6,19:6,18:6,X:X,10:6,13:6,11:6,15:6,18:6,18:6,17:6,18:6,10:6,12:6,14:6,16:6,17:6,20:6,19:6,17:6,809:13,10:6,12:6,16:6,18:6,17:6,18:6,15:6,X:X,14:6,14:6,15:6,17:6,19:6,18:6,15:6,X:X,14:6,16:6,17:6,17:6,20:6,20:6,X:X,12:6,14:6,17:6,18:6,18:6,17:6,20:6,18:6,12:6,
2025-01-07T15:30:32.182512,13:0,16:0,14:0,20:0,21:0,21:0,17:4,11:4,15:0,18:0,17:0,19:0,21:0,18:0,X:X,13:4,14:0,12:0,16:0,19:0,18:0,20:0,18:4,517:13,14:0,15:0,16:0,19:0,20:0,20:0,19:4,X:X,12:0,12:0,18:0,19:0,18:0,20:0,17:4,X:X,16:0,15:0,16:0,18:0,21:0,18:0,18:4,X:X,15:0,15:0,18:0,19:0,21:0,20:0,21:10,14:4,15:0,16:0,20:0,20:0,19:0,22:0,19:0,12:4,
2025-01-07T15:30:32.269693,12:0,14:0,14:0,19:0,20:0,21:0,17:4,12:4,14:0,18:0,16:0,19:0,21:0,19:0,X:X,11:4,14:0,11:0,16:0,19:0,17:0,20:0,18:4,466:0,13:0,15:0,17:0,19:0,22:0,21:0,18:4,X:X,11:0,12:0,16:0,18:0,17:0,21:0,16:4,X:X,16:0,14:0,16:0,18:0,20:0,20:0,16:4,X:X,14:0,15:0,17:0,19:0,20:0,21:0,21:0,12:4,14:0,17:0,19:0,20:0,18:0,20:0,19:0,12:4,
2025-01-07T15:30:32.406425,13:0,15:0,14:0,21:0,18:0,20:0,17:4,11:4,14:0,18:0,17:0,20:0,21:0,19:0,647:13,11:4,14:0,12:0,16:0,20:0,19:0,19:0,19:0,X:X,14:0,16:0,18:0,20:0,20:0,20:0,18:4,X:X,12:0,14:0,18:0,18:0,17:0,21:0,16:4,X:X,16:0,15:0,17:0,19:0,22:0,21:0,17:4,X:X,15:0,17:0,19:0,19:0,22:0,22:0,21:0,15:4,15:0,17:0,21:0,20:0,20:0,21:0,19:0,14:4,
2025-01-07T15:30:32.499677,12:0,15:0,14:0,19:0,21:0,20:0,18:4,12:4,14:0,18:0,17:0,20:0,19:0,20:0,X:X,13:4,14:0,12:0,16:0,19:0,18:0,20:0,17:4,705:13,14:0,15:0,17:0,19:0,22:0,21:0,17:4,X:X,12:0,14:0,18:0,18:0,19:0,20:0,17:4,X:X,16:0,15:0,16:0,18:0,21:0,19:0,18:4,X:X,15:0,16:0,18:0,19:0,20:0,20:0,X:X,14:4,15:0,17:0,20:0,20:0,18:0,20:0,19:0,12:4,
2025-01-07T15:30:32.587934,13:0,16:0,14:0,20:0,21:0,21:0,18:0,12:4,15:0,19:0,17:0,20:0,22:0,21:0,X:X,13:4,15:0,12:0,17:0,21:0,17:0,21:0,19:4,629:0,14:0,16:0,18:0,18:0,21:0,20:0,17:4,X:X,13:0,14:0,18:0,19:0,19:0,20:0,16:4,X:X,17:0,15:0,16:0,19:0,22:0,20:0,17:4,X:X,15:0,17:0,20:0,20:0,22:0,22:0,22:10,14:4,15:0,18:0,22:0,19:0,18:0,21:0,18:4,15:4,
