Timestamp,Data
2025-01-08T16:47:50.760390,Sensor initialization...
2025-01-08T16:47:50.781092,CUSTOM_RANGING_SENSOR_Init failed
2025-01-08T16:47:52.913045,Sensor initialization...
2025-01-08T16:47:52.939184,CUSTOM_RANGING_SENSOR_Init failed
2025-01-08T16:48:01.597019,Sensor initialization...
2025-01-08T16:48:01.622340,CUSTOM_RANGING_SENSOR_Init failed
2025-01-08T16:48:02.442558,Sensor initialization...
2025-01-08T16:48:02.463512,CUSTOM_RANGING_SENSOR_Init failed
2025-01-08T16:48:24.530541,Sensor initialization...
2025-01-08T16:48:28.245413,14:0,16:0,13:0,16:0,17:0,20:0,22:0,20:0,17:0,18:0,17:0,17:0,18:0,17:0,20:0,20:0,17:0,14:0,16:0,17:0,16:0,18:0,20:0,22:0,15:0,17:0,17:0,17:0,18:0,19:0,19:0,24:0,16:0,16:0,18:0,17:0,16:0,19:0,21:0,22:0,21:0,19:0,19:0,19:0,20:0,19:0,23:0,22:0,22:0,22:0,21:0,21:0,20:0,21:0,25:0,25:0,23:0,23:0,24:0,22:0,20:0,23:0,29:0,25:0,14:0,16:0,13:0,16:0,17:0,20:0,22:0,20:0,17:0,18:0,17:0,17:0,18:0,17:0,20:0,20:0,17:0,14:0,16:0,17:0,16:0,18:0,20:0,22:0,15:0,17:0,17:0,17:0,18:0,19:0,19:0,24:0,16:0,16:0,18:0,17:0,16:0,19:0,21:0,22:0,21:0,19:0,19:0,19:0,20:0,19:0,23:0,22:0,22:0,22:0,21:0,21:0,20:0,21:0,25:0,25:0,23:0,23:0,24:0,22:0,20:0,23:0,29:0,25:0,
2025-01-08T16:48:28.366838,13:0,14:0,12:0,16:0,16:0,19:0,21:0,19:0,17:0,18:0,16:0,17:0,17:0,16:0,19:0,20:0,17:0,13:0,16:0,16:0,15:0,17:0,19:0,20:0,16:0,16:0,17:0,17:0,18:0,19:0,18:0,23:0,15:0,14:0,18:0,17:0,16:0,19:0,20:0,21:0,21:0,18:0,19:0,17:0,20:0,19:0,23:0,22:0,20:0,21:0,20:0,20:0,20:0,20:0,26:0,25:0,21:0,22:0,23:0,22:0,20:0,22:0,26:0,23:0,13:0,14:0,12:0,16:0,16:0,19:0,21:0,19:0,17:0,18:0,16:0,17:0,17:0,16:0,19:0,20:0,17:0,13:0,16:0,16:0,15:0,17:0,19:0,20:0,16:0,16:0,17:0,17:0,18:0,19:0,18:0,23:0,15:0,14:0,18:0,17:0,16:0,19:0,20:0,21:0,21:0,18:0,19:0,17:0,20:0,19:0,23:0,22:0,20:0,21:0,20:0,20:0,20:0,20:0,26:0,25:0,21:0,22:0,23:0,22:0,20:0,22:0,26:0,23:0,
2025-01-08T16:48:28.454471,14:0,16:0,12:0,16:0,16:0,21:0,21:0,20:0,18:0,19:0,17:0,17:0,18:0,17:0,21:0,20:0,17:0,14:0,16:0,17:0,15:0,17:0,21:0,21:0,16:0,17:0,17:0,17:0,19:0,20:0,19:0,23:0,15:0,16:0,18:0,18:0,16:0,19:0,20:0,21:0,22:0,19:0,19:0,19:0,20:0,20:0,24:0,22:0,22:0,21:0,22:0,21:0,21:0,21:0,28:0,26:0,23:0,23:0,25:0,23:0,20:0,22:0,26:0,23:0,14:0,16:0,12:0,16:0,16:0,21:0,21:0,20:0,18:0,19:0,17:0,17:0,18:0,17:0,21:0,20:0,17:0,14:0,16:0,17:0,15:0,17:0,21:0,21:0,16:0,17:0,17:0,17:0,19:0,20:0,19:0,23:0,15:0,16:0,18:0,18:0,16:0,19:0,20:0,21:0,22:0,19:0,19:0,19:0,20:0,20:0,24:0,22:0,22:0,21:0,22:0,21:0,21:0,21:0,28:0,26:0,23:0,23:0,25:0,23:0,20:0,22:0,26:0,23:0,
2025-01-08T16:48:28.560891,13:0,15:0,12:0,15:0,16:0,20:0,21:0,19:0,17:0,18:0,16:0,17:0,17:0,17:0,19:0,20:0,17:0,13:0,17:0,16:0,15:0,17:0,19:0,19:0,15:0,16:0,16:0,17:0,18:0,19:0,19:0,22:0,15:0,16:0,18:0,17:0,16:0,20:0,20:0,20:0,21:0,19:0,18:0,18:0,20:0,19:0,22:0,22:0,21:0,21:0,21:0,20:0,20:0,21:0,26:0,26:0,23:0,23:0,24:0,22:0,20:0,23:0,26:0,23:0,13:0,15:0,12:0,15:0,16:0,20:0,21:0,19:0,17:0,18:0,16:0,17:0,17:0,17:0,19:0,20:0,17:0,13:0,17:0,16:0,15:0,17:0,19:0,19:0,15:0,16:0,16:0,17:0,18:0,19:0,19:0,22:0,15:0,16:0,18:0,17:0,16:0,20:0,20:0,20:0,21:0,19:0,18:0,18:0,20:0,19:0,22:0,22:0,21:0,21:0,21:0,20:0,20:0,21:0,26:0,26:0,23:0,23:0,24:0,22:0,20:0,23:0,26:0,23:0,
2025-01-08T16:48:28.662165,14:0,16:0,13:0,17:0,17:0,20:0,23:0,20:0,17:0,19:0,17:0,18:0,18:0,17:0,20:0,21:0,18:0,14:0,17:0,17:0,17:0,18:0,20:0,20:0,16:0,17:0,17:0,17:0,19:0,19:0,19:0,23:0,16:0,16:0,19:0,17:0,17:0,20:0,20:0,22:0,22:0,19:0,19:0,18:0,20:0,20:0,23:0,23:0,21:0,21:0,21:0,21:0,21:0,22:0,27:0,25:0,23:0,23:0,24:0,22:0,20:0,24:0,27:0,24:0,14:0,16:0,13:0,17:0,17:0,20:0,23:0,20:0,17:0,19:0,17:0,18:0,18:0,17:0,20:0,21:0,18:0,14:0,17:0,17:0,17:0,18:0,20:0,20:0,16:0,17:0,17:0,17:0,19:0,19:0,19:0,23:0,16:0,16:0,19:0,17:0,17:0,20:0,20:0,22:0,22:0,19:0,19:0,18:0,20:0,20:0,23:0,23:0,21:0,21:0,21:0,21:0,21:0,22:0,27:0,25:0,23:0,23:0,24:0,22:0,20:0,24:0,27:0,24:0,
2025-01-08T16:48:28.747209,14:0,15:0,13:0,16:0,16:0,20:0,21:0,20:0,17:0,18:0,16:0,17:0,17:0,16:0,20:0,20:0,17:0,13:0,16:0,16:0,15:0,17:0,20:0,21:0,15:0,16:0,17:0,17:0,18:0,19:0,19:0,22:0,15:0,15:0,18:0,17:0,16:0,19:0,20:0,22:0,21:0,19:0,19:0,17:0,19:0,19:0,23:0,21:0,20:0,21:0,20:0,20:0,20:0,20:0,26:0,26:0,23:0,22:0,24:0,22:0,19:0,22:0,26:0,24:0,14:0,15:0,13:0,16:0,16:0,20:0,21:0,20:0,17:0,18:0,16:0,17:0,17:0,16:0,20:0,20:0,17:0,13:0,16:0,16:0,15:0,17:0,20:0,21:0,15:0,16:0,17:0,17:0,18:0,19:0,19:0,22:0,15:0,15:0,18:0,17:0,16:0,19:0,20:0,22:0,21:0,19:0,19:0,17:0,19:0,19:0,23:0,21:0,20:0,21:0,20:0,20:0,20:0,20:0,26:0,26:0,23:0,22:0,24:0,22:0,19:0,22:0,26:0,24:0,
2025-01-08T16:48:28.864111,14:0,16:0,13:0,17:0,17:0,21:0,21:0,18:0,18:0,19:0,17:0,18:0,18:0,18:0,20:0,20:0,18:0,14:0,17:0,17:0,16:0,18:0,22:0,22:0,16:0,17:0,17:0,17:0,19:0,19:0,20:0,25:0,15:0,16:0,18:0,18:0,17:0,19:0,21:0,22:0,22:0,20:0,19:0,18:0,21:0,19:0,24:0,23:0,21:0,22:0,22:0,22:0,21:0,20:0,27:0,25:0,24:0,23:0,25:0,23:0,20:0,24:0,29:0,24:0,14:0,16:0,13:0,17:0,17:0,21:0,21:0,18:0,18:0,19:0,17:0,18:0,18:0,18:0,20:0,20:0,18:0,14:0,17:0,17:0,16:0,18:0,22:0,22:0,16:0,17:0,17:0,17:0,19:0,19:0,20:0,25:0,15:0,16:0,18:0,18:0,17:0,19:0,21:0,22:0,22:0,20:0,19:0,18:0,21:0,19:0,24:0,23:0,21:0,22:0,22:0,22:0,21:0,20:0,27:0,25:0,24:0,23:0,25:0,23:0,20:0,24:0,29:0,24:0,
2025-01-08T16:48:28.960516,13:0,15:0,13:0,16:0,16:0,20:0,21:0,21:0,17:0,18:0,16:0,18:0,18:0,17:0,20:0,20:0,17:0,14:0,16:0,17:0,16:0,17:0,20:0,20:0,15:0,17:0,17:0,17:0,18:0,20:0,19:0,22:0,15:0,15:0,18:0,17:0,16:0,19:0,20:0,21:0,21:0,19:0,19:0,18:0,20:0,19:0,24:0,22:0,21:0,21:0,21:0,20:0,20:0,21:0,28:0,26:0,23:0,23:0,25:0,23:0,20:0,23:0,26:0,25:0,13:0,15:0,13:0,16:0,16:0,20:0,21:0,21:0,17:0,18:0,16:0,18:0,18:0,17:0,20:0,20:0,17:0,14:0,16:0,17:0,16:0,17:0,20:0,20:0,15:0,17:0,17:0,17:0,18:0,20:0,19:0,22:0,15:0,15:0,18:0,17:0,16:0,19:0,20:0,21:0,21:0,19:0,19:0,18:0,20:0,19:0,24:0,22:0,21:0,21:0,21:0,20:0,20:0,21:0,28:0,26:0,23:0,23:0,25:0,23:0,20:0,23:0,26:0,25:0,
2025-01-08T16:48:29.058354,14:0,16:0,14:0,17:0,17:0,22:0,22:0,21:0,18:0,19:0,16:0,18:0,18:0,17:0,21:0,20:0,18:0,13:0,17:0,18:0,15:0,18:0,20:0,22:0,16:0,17:0,18:0,18:0,19:0,19:0,20:0,23:0,15:0,16:0,19:0,17:0,17:0,20:0,21:0,21:0,22:0,20:0,19:0,18:0,21:0,19:0,24:0,21:0,21:0,22:0,22:0,21:0,21:0,21:0,27:0,25:0,23:0,23:0,25:0,22:0,20:0,24:0,28:0,25:0,14:0,16:0,14:0,17:0,17:0,22:0,22:0,21:0,18:0,19:0,16:0,18:0,18:0,17:0,21:0,20:0,18:0,13:0,17:0,18:0,15:0,18:0,20:0,22:0,16:0,17:0,18:0,18:0,19:0,19:0,20:0,23:0,15:0,16:0,19:0,17:0,17:0,20:0,21:0,21:0,22:0,20:0,19:0,18:0,21:0,19:0,24:0,21:0,21:0,22:0,22:0,21:0,21:0,21:0,27:0,25:0,23:0,23:0,25:0,22:0,20:0,24:0,28:0,25:0,
2025-01-08T16:48:29.164048,13:0,15:0,13:0,16:0,16:0,20:0,21:0,19:0,17:0,18:0,16:0,17:0,18:0,17:0,18:0,21:0,17:0,14:0,16:0,17:0,15:0,18:0,20:0,20:0,15:0,16:0,17:0,17:0,18:0,19:0,19:0,22:0,15:0,15:0,18:0,17:0,17:0,19:0,20:0,22:0,21:0,19:0,19:0,18:0,20:0,20:0,24:0,23:0,21:0,21:0,21:0,20:0,20:0,20:0,27:0,25:0,24:0,23:0,25:0,22:0,20:0,24:0,25:0,22:0,13:0,15:0,13:0,16:0,16:0,20:0,21:0,19:0,17:0,18:0,16:0,17:0,18:0,17:0,18:0,21:0,17:0,14:0,16:0,17:0,15:0,18:0,20:0,20:0,15:0,16:0,17:0,17:0,18:0,19:0,19:0,22:0,15:0,15:0,18:0,17:0,17:0,19:0,20:0,22:0,21:0,19:0,19:0,18:0,20:0,20:0,24:0,23:0,21:0,21:0,21:0,20:0,20:0,20:0,27:0,25:0,24:0,23:0,25:0,22:0,20:0,24:0,25:0,22:0,
