Data,Label
"730:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 755:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 946:10, 1060:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 718:10, 713:10, 729:10, X:X, X:X, X:X, X:X, 374:10, 440:10, 485:10, 627:10, 692:10, X:X, X:X, X:X, 285:10, 370:10, 456:10, 480:4, 490:4, 472:4, X:X, X:X,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 945:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 922:4, 998:4, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 511:5, 555:5, 519:5, 647:5, 679:4, X:X, X:X,",bras_droit
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 778:10, 715:10, 631:10, 753:10, X:X, X:X, X:X, X:X, X:X, 558:10, 553:10, 554:10, 655:10, X:X, X:X, X:X, 379:5, 383:5, 409:5, 470:5, 494:5, 692:10, 1012:10,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 628:10, 628:10, 672:5, 684:5, X:X, X:X, X:X, X:X, 366:10, 447:5, 504:5, 527:5, 568:5, X:X, 531:5, X:X,",bras_gauche
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 938:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 909:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 929:10, 975:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 970:4, 604:5, 658:5, 669:10, 678:10, X:X, X:X, 400:5, 412:5, 454:5, 493:5, 515:5, 506:10, 480:5, X:X,",bras_droit
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 691:10, 738:10, 612:4, 595:5, 632:5, 705:5, X:X, X:X, 656:10, 387:5, 381:5, 439:5, 494:5, 535:5, 636:5, 743:4, X:X,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 911:10, X:X, X:X, X:X, X:X, X:X, X:X, 968:10, X:X, 742:5, 628:5, 593:5, 663:5, 696:5, 939:10, 988:10, X:X, 399:5, 398:5, 463:5, 501:5, 535:5, 557:5, X:X, X:X,",bras_gauche
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 692:10, X:X, X:X, X:X, X:X, X:X, 766:5, 630:9, 591:5, 573:5, 697:5, 709:4, X:X, X:X, 397:5, 381:5, 419:5, 489:5, 523:5, 559:5, 476:10, X:X,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 750:10, X:X, X:X, X:X, X:X, 707:5, 560:5, 527:5, 613:5, 637:5, 687:5, X:X, X:X, 385:5, 403:5, 448:5, 511:5, 510:5, 479:5, 435:5, 416:10,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 746:10, X:X, X:X, X:X, X:X, X:X, 587:5, 654:5, 611:5, 654:5, 693:10, 785:10, 445:5, 415:5, 466:5, 503:5, 504:5, 474:5, 429:5, 407:5,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 799:10, 815:10, X:X, X:X, X:X, X:X, 704:5, 720:5, 829:5, X:X, X:X, X:X, X:X, 681:5, 641:5, 576:5, 456:5, X:X,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 841:5, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 919:5, 849:10, X:X, X:X, X:X, 695:5, 697:5, 762:5, X:X, X:X,",
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 799:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 840:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 877:10, X:X, X:X, X:X, X:X, X:X, X:X, 873:5, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 967:5, X:X, X:X, X:X, 631:10, 525:5, 639:5, 675:5, 722:10, X:X,",bras_gauche
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 784:5, 793:10, 747:10, 715:10, X:X, X:X, X:X, X:X, 806:10, 777:10, 471:10, 591:10, 558:10, 689:10, X:X, 861:5, 835:10, 340:10, 352:10, 405:4, 484:5, 519:5, 607:5, X:X, X:X,",bras_gauche
"X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 843:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 852:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 856:10, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 908:5, X:X, X:X, X:X, X:X, X:X, X:X, X:X, X:X, 910:4, 715:5, 698:5, 709:5, X:X, X:X, X:X, 408:5, 450:5, 503:5, 533:5, 560:5, 525:5, 598:10, X:X,",bras_droit
